"Tabela 10145 - População residente, total e diagnosticada com autismo, por sexo e grupo de idade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região e UF",Variável x Ano x Sexo x Grupo de idade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,População residente (Pessoas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,População residente diagnosticada com autismo (Pessoas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percentual da população residente diagnosticada com autismo no total da população residente (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,,,,,,,Homens,,,,,,,,,,,,,,,,,,,,,,Mulheres,,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,Homens,,,,,,,,,,,,,,,,,,,,,,Mulheres,,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,Homens,,,,,,,,,,,,,,,,,,,,,,Mulheres,,,,,,,,,,,,,,,,,,,,,
,Total,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 a 84 anos,85 a 89 anos,90 a 94 anos,95 a 99 anos,100 anos ou mais,Total,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 a 84 anos,85 a 89 anos,90 a 94 anos,95 a 99 anos,100 anos ou mais,Total,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 a 84 anos,85 a 89 anos,90 a 94 anos,95 a 99 anos,100 anos ou mais,Total,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 a 84 anos,85 a 89 anos,90 a 94 anos,95 a 99 anos,100 anos ou mais,Total,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 a 84 anos,85 a 89 anos,90 a 94 anos,95 a 99 anos,100 anos ou mais,Total,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 a 84 anos,85 a 89 anos,90 a 94 anos,95 a 99 anos,100 anos ou mais,Total,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 a 84 anos,85 a 89 anos,90 a 94 anos,95 a 99 anos,100 anos ou mais,Total,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 a 84 anos,85 a 89 anos,90 a 94 anos,95 a 99 anos,100 anos ou mais,Total,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 a 84 anos,85 a 89 anos,90 a 94 anos,95 a 99 anos,100 anos ou mais
Brasil,203080756,12727104,13753502,13667117,14370465,15454549,15450575,15447087,16130880,16055357,13619672,12596346,11579521,9962046,7905315,5892251,3865342,2489104,1334794,579363,163981,36385,98532431,6475658,7013145,6989598,7312955,7763330,7620245,7526108,7811190,7770077,6539406,6015019,5420934,4610752,3602635,2630379,1665793,1016223,495689,194003,49824,9471,104548325,6251446,6740357,6677519,7057510,7691219,7830331,7920980,8319691,8285281,7080265,6581328,6158587,5351294,4302680,3261872,2199549,1472881,839105,385360,114157,26914,2405337,263106,350942,254821,191185,155960,141646,134615,137218,136330,117910,108711,106059,94216,75748,58693,37426,22791,11808,4471,1346,336,1441208,189626,264621,186053,130027,93244,78359,70597,70963,67659,55715,50802,49440,41878,33798,26425,15571,9524,4810,1589,366,142,964129,73481,86322,68768,61158,62716,63287,64018,66255,68671,62195,57909,56619,52339,41950,32268,21856,13267,6997,2882,980,194,1.2,2.1,2.6,1.9,1.3,1,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,1,1,1,0.9,0.9,0.8,0.8,0.9,1.5,2.9,3.8,2.7,1.8,1.2,1,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,1,0.9,0.9,1,0.8,0.7,1.5,0.9,1.2,1.3,1,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1,1,0.9,0.8,0.7,0.9,0.7
  Norte,17354884,1415938,1479204,1481489,1544233,1522082,1429245,1349255,1364279,1281564,1047706,889869,739228,603230,457271,315967,204347,128300,63017,26986,8611,3062,8663119,720584,753761,757245,784603,764908,706609,661453,669726,634783,520144,445804,365615,298342,225737,155045,96994,59234,26847,11172,3518,998,8691765,695354,725444,724244,759630,757174,722636,687802,694554,646781,527562,444065,373614,304888,231534,160922,107354,69067,36170,15814,5093,2065,201835,23545,32853,26490,19795,14590,12561,10829,11396,10313,8394,7493,6545,5679,3999,3442,1923,1042,510,323,59,54,126379,16847,24703,18925,13594,8671,6901,5826,5797,5210,4288,3857,3209,2781,2137,1765,833,570,231,199,14,21,75456,6698,8149,7565,6202,5919,5660,5003,5598,5103,4107,3636,3336,2899,1862,1678,1090,472,279,124,45,33,1.2,1.7,2.2,1.8,1.3,1,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1.1,0.9,0.8,0.8,1.2,0.7,1.8,1.5,2.3,3.3,2.5,1.7,1.1,1,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,1.1,0.9,1,0.9,1.8,0.4,2.1,0.9,1,1.1,1,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.9,1,0.8,1,1,0.7,0.8,0.8,0.9,1.6
    Rondônia,1581196,113704,117778,116966,121166,124303,126343,125467,128125,123687,106611,95873,85008,67505,50402,34233,21399,13097,6315,2499,581,133,787987,57979,59898,59579,61347,62023,62344,61663,62302,60576,52205,47543,42605,33984,25296,16929,10588,6588,2876,1259,323,80,793209,55725,57880,57388,59818,62280,64000,63804,65823,63110,54406,48331,42403,33521,25105,17304,10811,6509,3439,1240,258,53,20209,1983,2873,2534,1833,1398,1354,1084,1340,1286,1065,752,833,626,374,427,174,189,68,17,-,-,11797,1411,2071,1835,1235,774,716,493,602,685,407,369,352,243,205,207,86,78,13,13,-,-,8412,572,801,699,598,624,637,592,738,601,657,383,481,382,168,219,87,111,54,5,-,-,1.3,1.7,2.4,2.2,1.5,1.1,1.1,0.9,1,1,1,0.8,1,0.9,0.7,1.2,0.8,1.4,1.1,0.7,-,-,1.5,2.4,3.5,3.1,2,1.2,1.1,0.8,1,1.1,0.8,0.8,0.8,0.7,0.8,1.2,0.8,1.2,0.5,1,-,-,1.1,1,1.4,1.2,1,1,1,0.9,1.1,1,1.2,0.8,1.1,1.1,0.7,1.3,0.8,1.7,1.6,0.4,-,-
    Acre,830018,71242,74665,75688,78911,77081,68914,62476,62868,60295,47879,39728,32122,25668,19518,13851,8929,5752,2639,1231,372,187,415332,36209,38257,38805,40512,39116,34077,30600,30703,29721,23800,19806,15698,12545,9707,6786,4285,2655,1229,559,155,107,414686,35033,36408,36883,38399,37965,34836,31876,32165,30575,24079,19922,16424,13124,9811,7066,4644,3097,1410,672,217,80,13224,2071,3090,2070,1228,957,668,545,439,438,370,290,297,257,142,207,91,30,16,6,11,-,8703,1410,2321,1593,826,576,363,348,242,224,141,148,141,111,68,103,54,16,-,6,11,-,4521,661,769,476,402,381,305,197,196,214,230,141,157,146,74,104,37,14,16,-,-,-,1.6,2.9,4.1,2.7,1.6,1.2,1,0.9,0.7,0.7,0.8,0.7,0.9,1,0.7,1.5,1,0.5,0.6,0.5,2.8,-,2.1,3.9,6.1,4.1,2,1.5,1.1,1.1,0.8,0.8,0.6,0.7,0.9,0.9,0.7,1.5,1.3,0.6,-,1.1,6.8,-,1.1,1.9,2.1,1.3,1,1,0.9,0.6,0.6,0.7,1,0.7,1,1.1,0.8,1.5,0.8,0.5,1.2,-,-,-
    Amazonas,3941613,352580,368071,356412,367558,362541,332441,297488,298346,282087,227133,188640,151676,123925,91966,60562,37773,23756,11269,4943,1785,660,1965810,179155,187295,181324,186731,181801,165536,146001,146944,139864,112380,94714,74784,60594,44765,28829,17294,10307,4797,1906,609,178,1975803,173425,180776,175087,180827,180740,166905,151487,151402,142224,114753,93925,76892,63331,47200,31733,20480,13449,6472,3037,1177,483,43983,5694,7814,6053,4809,3424,2487,2029,2207,1739,1570,1672,1138,1104,769,723,283,228,85,81,38,36,28361,3982,6080,4450,3610,1950,1346,1084,1060,866,720,879,534,590,438,422,117,106,48,74,-,3,15622,1712,1734,1603,1199,1474,1141,945,1146,873,850,793,604,513,330,301,166,121,37,7,38,33,1.1,1.6,2.1,1.7,1.3,0.9,0.7,0.7,0.7,0.6,0.7,0.9,0.8,0.9,0.8,1.2,0.7,1,0.8,1.6,2.2,5.5,1.4,2.2,3.2,2.5,1.9,1.1,0.8,0.7,0.7,0.6,0.6,0.9,0.7,1,1,1.5,0.7,1,1,3.9,-,1.9,0.8,1,1,0.9,0.7,0.8,0.7,0.6,0.8,0.6,0.7,0.8,0.8,0.8,0.7,0.9,0.8,0.9,0.6,0.2,3.3,6.8
    Roraima,636707,64720,63071,58716,57581,57901,55976,49302,49164,43689,34398,28074,23764,17926,13349,8689,5058,2992,1509,567,195,65,320392,33159,32438,30357,29159,29019,27822,24363,24268,21437,16724,14274,11925,8971,6802,4577,2632,1418,703,258,61,28,316315,31561,30634,28360,28422,28882,28154,24940,24896,22252,17673,13800,11839,8955,6548,4112,2425,1575,806,310,134,37,7374,1214,1172,934,675,442,466,329,417,428,224,317,232,129,179,77,64,26,41,-,-,7,4687,855,868,671,442,272,261,151,175,287,83,152,132,84,84,61,45,26,30,-,-,7,2687,358,304,262,233,170,205,178,242,141,141,166,100,44,95,17,19,-,12,-,-,-,1.2,1.9,1.9,1.6,1.2,0.8,0.8,0.7,0.8,1,0.7,1.1,1,0.7,1.3,0.9,1.3,0.9,2.7,-,-,11.4,1.5,2.6,2.7,2.2,1.5,0.9,0.9,0.6,0.7,1.3,0.5,1.1,1.1,0.9,1.2,1.3,1.7,1.9,4.2,-,-,26.6,0.8,1.1,1,0.9,0.8,0.6,0.7,0.7,1,0.6,0.8,1.2,0.8,0.5,1.5,0.4,0.8,-,1.5,-,-,-
    Pará,8120131,633691,671391,689309,726162,706938,664181,641309,649955,604607,490202,418396,345869,287896,220360,154125,101643,63331,31245,13517,4460,1545,4051813,321952,342102,353066,369211,356059,327552,314049,319756,300806,244749,210176,170344,142200,108479,75180,47543,28773,12371,5184,1786,475,4068318,311739,329288,336243,356951,350880,336629,327259,330199,303801,245453,208220,175525,145695,111882,78946,54099,34558,18875,8333,2674,1070,91230,9137,13413,11652,9067,6871,5837,5736,5396,4936,4013,3538,3222,2869,2119,1647,1014,388,215,154,-,7,56640,6676,9942,8211,6045,4315,3158,3228,2786,2375,2303,1875,1625,1417,1098,770,384,241,121,64,-,7,34590,2461,3471,3442,3021,2557,2679,2508,2610,2561,1709,1662,1597,1452,1021,877,631,147,94,90,-,-,1.1,1.4,2,1.7,1.2,1,0.9,0.9,0.8,0.8,0.8,0.8,0.9,1,1,1.1,1,0.6,0.7,1.1,-,0.4,1.4,2.1,2.9,2.3,1.6,1.2,1,1,0.9,0.8,0.9,0.9,1,1,1,1,0.8,0.8,1,1.2,-,1.5,0.9,0.8,1.1,1,0.8,0.7,0.8,0.8,0.8,0.8,0.7,0.8,0.9,1,0.9,1.1,1.2,0.4,0.5,1.1,-,-
    Amapá,733759,65666,67283,65505,67547,69969,63353,58303,56799,51759,42773,35341,27506,21649,15660,10277,6718,4068,2198,976,256,154,364516,33442,34327,33372,34245,35130,31018,28667,27481,25108,20799,17515,13580,10637,7597,5136,3148,1775,990,428,103,16,369243,32223,32956,32133,33302,34839,32335,29636,29318,26650,21974,17826,13925,11012,8063,5141,3570,2293,1208,548,153,138,11081,1702,2377,1633,990,709,824,369,626,462,425,274,186,164,125,62,90,34,9,19,-,-,7200,1171,1848,1077,639,404,543,140,355,224,236,143,135,93,80,34,32,28,-,19,-,-,3881,531,529,555,351,305,282,230,272,238,189,131,51,71,45,29,58,6,9,-,-,-,1.5,2.6,3.5,2.5,1.5,1,1.3,0.6,1.1,0.9,1,0.8,0.7,0.8,0.8,0.6,1.3,0.8,0.4,1.9,-,-,2,3.5,5.4,3.2,1.9,1.1,1.7,0.5,1.3,0.9,1.1,0.8,1,0.9,1.1,0.7,1,1.6,-,4.4,-,-,1.1,1.6,1.6,1.7,1.1,0.9,0.9,0.8,0.9,0.9,0.9,0.7,0.4,0.6,0.6,0.6,1.6,0.3,0.7,-,-,-
